2013-05-10 03:13:52 status half-configured libsemanage-common:all 2.1.6-6
2013-05-10 03:13:52 status installed libsemanage-common:all 2.1.6-6
2013-05-10 03:13:52 configure gcc-4.7-base:armhf 4.7.2-5 <none>
2013-05-10 03:13:52 status unpacked gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:52 status half-configured gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:52 status installed gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:52 configure libc-bin:armhf 2.13-38 <none>
2013-05-10 03:13:52 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:52 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:52 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:52 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:52 status unpacked libc-bin:armhf 2.13-38
